,62,GTX 1070 Ti,[Colorful] IGAME 지포스 GTX1070 Ti VULCAN U-TOP D5 8GB,\698990,Colorful,GTX 1070 Ti,1607 MHz,1683 MHz,3,8000 MHz,305mm,2,0,180W,500W,1,2,2
,63,GTX 1070 Ti,[Colorful] IGAME 지포스 GTX1070 Ti VULCAN X D5 8GB,\642090,Colorful,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,315mm,2,0,180W,500W,1,2,2
,64,GTX 1070 Ti,[EVGA] 지포스 GTX1070 Ti FTW2 GAMING D5 8GB,\759000,EVGA,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,266.7mm,2,0,235W,500W,1,1,3
,65,GTX 1070 Ti,[EVGA] 지포스 GTX1070 Ti SC GAMING D5 8GB,\659000,EVGA,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,266.7mm,1,0,217W,500W,1,1,3
,66,GTX 1070 Ti,[GAINWARD] 지포스 GTX1070 Ti 게이머 스피릿 D5 8GB Dual,\596600,GAINWARD,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,252mm,1,0,180W,500W,1,1,3
,67,GTX 1070 Ti,[GeIL] 지포스 GTX1070 Ti D5 8GB,\610900,GeIL,GTX 1070 Ti,1607 MHz,1683 MHz,3,8000 MHz,280mm,0,1,180W,500W,1,1,3
,68,GTX 1070 Ti,[GIGABYTE] 지포스 GTX1070 Ti AORUS D5 8GB,\681200,GIGABYTE,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,280mm,1,0,180W,500W,1,1,3
,69,GTX 1070 Ti,[GIGABYTE] 지포스 GTX1070 Ti Gaming D5 8GB,\654300,GIGABYTE,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,280mm,1,0,180W,500W,1,1,3
,70,GTX 1070 Ti,[GIGABYTE] 지포스 GTX1070 Ti UDV D5 8GB 윈드포스,\631400,GIGABYTE,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,280mm,1,0,180W,500W,1,1,3
,71,GTX 1070 Ti,[inno3D] 지포스 GTX1070 Ti D5 8GB X2,\588900,inno3D,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,266mm,1,0,180W,500W,1,1,3
,72,GTX 1070 Ti,[MANLI] 지포스 GTX1070 Ti Black Scale D5 8GB,\787990,MANLI,GTX 1070 Ti,1607 MHz,1683 MHz,1,8008 MHz,281mm,1,0,180W,500W,1,1,3
,73,GTX 1070 Ti,[MANLI] 지포스 GTX1070 Ti Gallardo D5 8GB,\585600,MANLI,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,308mm,1,0,180W,500W,1,1,3
,74,GTX 1070 Ti,[MSI] 지포스 GTX1070 Ti 아머 D5 8GB,\582000,MSI,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,279mm,1,1,180W,500W,1,1,3
,75,GTX 1070 Ti,[MSI] 지포스 GTX1070 Ti 게이밍 D5 8GB 트윈프로져6,\640000,MSI,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,279mm,1,1,180W,500W,1,1,3
,76,GTX 1070 Ti,[MSI] 지포스 GTX1070 Ti 티타늄 D5 8GB 트윈프로져6,\726800,MSI,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,279mm,1,1,180W,500W,1,1,3
,77,GTX 1070 Ti,[PALIT] 지포스 GTX1070 Ti DUAL D5 8GB,\600800,PALIT,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,252mm,1,0,180W,500W,1,1,3
,78,GTX 1070 Ti,[PALIT] 지포스 GTX1070 Ti JETSTREAM D5 8GB,\667400,PALIT,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,285mm,1,1,180W,500W,1,1,3
,79,GTX 1070 Ti,[ZOTAC] AMP EXTREME 지포스 GTX1070 Ti D5 8GB,\1049990,ZOTAC,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,325mm,2,0,180W,500W,1,1,3
,80,GTX 1070 Ti,[ZOTAC] AMP 지포스 GTX1070 Ti AIR D5 8GB,\583100,ZOTAC,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,211mm,1,0,180W,500W,1,1,3
,81,GTX 1070 Ti,[ZOTAC] AMP 지포스 GTX1070 Ti D5 8GB,\625000,ZOTAC,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,300mm,2,0,180W,500W,1,1,3
,82,GTX 1070 Ti,[갤럭시] GALAX 지포스 GTX1070 Ti EXOC D5 8GB G天命,\626900,갤럭시,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,296mm,1,1,180W,500W,1,1,3
,83,GTX 1070 Ti,[갤럭시] GALAX 지포스 GTX1070 Ti Hall Of Fame D5 8GB,\758000,갤럭시,GTX 1070 Ti,1607 MHz,1683 MHz,3,8008 MHz,330mm,2,0,180W,500W,1,1,3
,84,GTX 1070 Ti,[갤럭시] GALAX 지포스 GTX1070 Ti 개간지 EXOC D5 8GB,\660300,갤럭시,GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,296mm,1,1,180W,500W,1,1,3
,85, GTX 1070 Ti,[이엠텍] HV 지포스 GTX1070 Ti BLACK MONSTER D5 8GB,\615500,이엠텍, GTX 1070 Ti,1607 MHz,1683 MHz,2,8008 MHz,250mm,0,0,180W,500W,0,0,0
,86,GTX 1070 Ti,[이엠텍] HV 지포스 GTX1070 Ti GAMER Edition D5 8GB,\1140000,이엠텍,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,270mm,1,1,180W,500W,1,1,3
,87,GTX 1070 Ti,[이엠텍] XENON 지포스 GTX1070 Ti JETSTREAM D5 8GB,\657600,이엠텍,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,285mm,1,1,180W,500W,1,1,3
,88,GTX 1070 Ti,[이엠텍] XENON 지포스 GTX1070 Ti STORM X Dual D5 8GB,\618600,이엠텍,GTX 1070 Ti,1607 MHz,1683 MHz,2,8000 MHz,250mm,1,0,180W,500W,1,1,3
,89,GTX 1070,[ASUS] DUAL 지포스 GTX1070 O8G D5 8GB,\604400,ASUS,GTX 1070,1582 MHz,1771 MHz,2,8008 MHz,242mm,0,1,170W,500W,1,2,2
,90,GTX 1070,[ASUS] ROG STRIX 지포스 GTX1070 GAMING D5 8GB,\998000,ASUS,GTX 1070,1506 MHz,1683 MHz,3,8008 MHz,298mm,1,0,170W,500W,1,2,2
,91,GTX 1070,[ASUS] ROG STRIX 지포스 GTX1070 O8G GAMING D5 8GB,\645650,ASUS,GTX 1070,1632 MHz,1835 MHz,3,8000 MHz,300mm,1,0,170W,500W,1,2,2
,92,GTX 1070,[Colorful] 지포스 GTX1070 iCafe D5 8GB,\891000,Colorful,GTX 1070,1506 MHz,1683 MHz,2,8008 MHz,260mm,0,2,150W,500W,1,1,3
,93,GTX 1070,[Colorful] 지포스 GTX1070 iGame U-TOP D5 8GB,\522800,Colorful,GTX 1070,1569 MHz,1759 MHz,3,8008 MHz,302mm,0,2,150W,500W,1,1,3
,94,GTX 1070,[Colorful] 지포스 GTX1070 iGame X-TOP Advanced Limited D5 8GB,\1240550,Colorful,GTX 1070,1657 MHz,1860 MHz,3,8008 MHz,315mm,2,0,150W,500W,1,1,3
,95,GTX 1070,[Colorful] 지포스 GTX1070 iGame X-TOP D5 8GB,\1134210,Colorful,GTX 1070,1607 MHz,1797 MHz,3,8008 MHz,302mm,2,0,150W,500W,1,1,3
,96,GTX 1070,[Colorful] 지포스 GTX1070 NP104-200 D5 8GB,\912000,Colorful,GTX 1070,1506 MHz,1683 MHz,2,8008 MHz,280mm,0,2,150W,500W,1,1,3
,97,GTX 1070,[EVGA] 지포스 GTX1070 SC GAMING D5 8GB,\629000,EVGA,GTX 1070,1594 MHz,1784 MHz,2,8008 MHz,266.7mm,1,0,170W,500W,1,1,3
,98,GTX 1070,[GAINWARD] 지포스 GTX1070 피닉스 GS D5 8GB,\581200,GAINWARD,GTX 1070,1632 MHz,1835 MHz,2,8000 MHz,285mm,1,0,150W,500W,1,1,3
,99,GTX 1070,[GIGABYTE] 지포스 GTX1070 AORUS D5 8GB,\761480,GIGABYTE,GTX 1070,1607 MHz,1797 MHz,3,8008 MHz,287mm,1,1,150W,500W,1,3,3
,100,GTX 1070,[GIGABYTE] 지포스 GTX1070 AORUS Gaming Box,\718500,GIGABYTE,GTX 1070,1531 MHz,1721 MHz,1,8008 MHz,,1,0,193W,500W,2,1,1
,101,GTX 1070,[GIGABYTE] 지포스 GTX1070 G1.Gaming D5 8GB,\615900,GIGABYTE,GTX 1070,1594 MHz,1784 MHz,3,8008 MHz,286mm,1,0,190W,500W,1,1,3
,102,GTX 1070,[GIGABYTE] 지포스 GTX1070 UDV D5 8GB 미니미,\565300,GIGABYTE,GTX 1070,1531 MHz,1721 MHz,1,8008 MHz,170mm,1,0,190W,500W,2,1,1
,103,GTX 1070,[GIGABYTE] 지포스 GTX1070 UDV D5 8GB 윈드포스,\596700,GIGABYTE,GTX 1070,1556 MHz,1746 MHz,2,8008 MHz,295mm,1,0,190W,500W,1,1,3
,104,GTX 1070,[inno3D] iChiLL 지포스 GTX1070 D5 8GB X3,\1140000,inno3D,GTX 1070,1620 MHz,1822 MHz,3,8200 MHz,302.2mm,1,0,190W,500W,1,1,3
,105,GTX 1070,[inno3D] 지포스 GTX1070 D5 8GB X2 트윈쿨러,\514000,inno3D,GTX 1070,1506 MHz,1683 MHz,2,8000 MHz,266mm,1,0,150W,500W,1,1,3
,106,GTX 1070,[MANLI] 지포스 GTX1070 Black Scale D5 8GB,\607900,MANLI,GTX 1070,1506 MHz,1683 MHz,1,8008 MHz,281mm,1,0,150W,500W,1,1,3
,107,GTX 1070,[MANLI] 지포스 GTX1070 Gallardo OC D5 8GB,\529000,MANLI,GTX 1070,1569 MHz,1759 MHz,3,8008 MHz,305mm,1,0,150W,500W,1,1,3
,108,GTX 1070,[MSI] 지포스 GTX1070 게이밍 X D5 8GB 트윈프로져6,\647100,MSI,GTX 1070,1607 MHz,1797 MHz,2,8108 MHz,279mm,1,1,150W,500W,1,1,3
,109,GTX 1070,[MSI] 지포스 GTX1070 아머 OC D5 8GB,\531500,MSI,GTX 1070,1556 MHz,1746 MHz,2,8008 MHz,279mm,1,0,150W,500W,1,1,3
,110,GTX 1070,[PALIT] 지포스 GTX1070 DUAL D5 8GB,\539600,PALIT,GTX 1070,1506 MHz,1683 MHz,2,8000 MHz,252mm,1,0,150W,500W,1,1,3
,111,GTX 1070,[PALIT] 지포스 GTX1070 JETSTREAM D5 8GB,\614100,PALIT,GTX 1070,1506 MHz,1683 MHz,2,8000 MHz,285mm,1,0,150W,500W,1,1,3
,112,GTX 1070,[PALIT] 지포스 GTX1070 Super JETSTREAM D5 8GB,\613500,PALIT,GTX 1070,1632 MHz,1835 MHz,2,8000 MHz,285mm,1,0,170W,500W,1,1,3
,113,GTX 1070,[STCOM] ALPHA 지포스 GTX1070 OC D5 8GB,\600100,STCOM,GTX 1070,1569 MHz,1759 MHz,3,8192 MHz,280mm,0,2,120W,400W,1,1,3
,114,GTX 1070,[ZOTAC] AMP EXTREME 지포스 GTX1070 D5 8GB,\900000,ZOTAC,GTX 1070,1632 MHz,1835 MHz,3,8208 MHz,325mm,2,0,250W,500W,1,1,3
,115,GTX 1070,[ZOTAC] 지포스 GTX1070 MINi D5 8GB,\520000,ZOTAC,GTX 1070,1518 MHz,1708 MHz,2,8000 MHz,210mm,1,0,150W,500W,1,1,3
,116,GTX 1070,[갤럭시] GALAX 지포스 GTX1070 EXOC D5 8GB G美,\543900,갤럭시,GTX 1070,1518 MHz,1708 MHz,2,8008 MHz,282mm,1,1,150W,500W,1,1,3
,117,GTX 1070,[갤럭시] GALAX 지포스 GTX1070 EXOC D5 8GB G天命,\590700,갤럭시,GTX 1070,1594 MHz,1784 MHz,2,8008 MHz,296mm,1,1,150W,500W,1,1,3
,118,GTX 1070,[갤럭시] GALAX 지포스 GTX1070 Hall Of Fame D5 8GB,\1017020,갤럭시,GTX 1070,1620 MHz,1822 MHz,3,8008 MHz,317mm,2,0,150W,500W,1,1,3
,119,GTX 1070,[갤럭시] GALAX 지포스 GTX1070 OC GBIBLE D5 8GB,\530000,갤럭시,GTX 1070,1518 MHz,1708 MHz,2,8008 MHz,181mm,1,0,150W,500W,2,1,1
,120,GTX 1070,[갤럭시] GALAX 지포스 GTX1070 Razor OC D5 8GB,\967350,갤럭시,GTX 1070,1518 MHz,1708 MHz,1,8008 MHz,253mm,1,0,150W,400W,1,1,1
,121,GTX 1070,[갤럭시] GALAX 지포스 GTX1070 개간지 EXOC D5 8GB Black Edition,\608880,갤럭시,GTX 1070,1594 MHz,1784 MHz,2,8008 MHz,296mm,1,1,150W,500W,1,1,3
,122,GTX 1070,[갤럭시] GALAX 지포스 GTX1070 개간지 EXOC D5 8GB,\645900,갤럭시,GTX 1070,1594 MHz,1784 MHz,2,8008 MHz,296mm,1,1,150W,500W,1,1,3
,123,GTX 1070,[이엠텍] HV 지포스 GTX1070 GAMER Edition D5 8GB,\806650,이엠텍,GTX 1070,1594 MHz,1784 MHz,2,8008 MHz,270mm,1,1,150W,500W,1,1,3
,124,GTX 1070,[이엠텍] XENON 지포스 GTX1070 JETSTREAM D5 8GB,\569400,이엠텍,GTX 1070,1506 MHz,1683 MHz,2,8000 MHz,285mm,1,0,170W,500W,1,1,3
,125,GTX 1070,[이엠텍] XENON 지포스 GTX1070 JETSTREAM D5 8GB FF14 에디션,\1274670,이엠텍,GTX 1070,1506 MHz,1683 MHz,2,8000 MHz,285mm,1,0,170W,500W,1,1,3
,126,GTX 1070,[이엠텍] XENON 지포스 GTX1070 Super JETSTREAM D5 8GB,\594100,이엠텍,GTX 1070,1632 MHz,1835 MHz,2,8000 MHz,285mm,1,0,170W,500W,1,1,3
,127,GTX 1070,[이엠텍] XENON 지포스 GTX1070 Super JETSTREAM D5 8GB FF14 에디션,\1234990,이엠텍,GTX 1070,1632 MHz,1635 MHz,2,8000 MHz,285mm,1,0,170W,500W,1,1,3
