,,,제품,가격,제조사,종류,E-ATX,ATX,m-ATX,m-ITX,측면,폭,높이,깊이,VGA 장착길이,쿨러 최대높이,외부 색깔,내부 색깔
36,미들타워,,[3RSYS] L910 화이트 풀 윈도우 튜닝LED바,\82300,3RSYS,미들타워,,O,O,O,아크릴,230mm,490mm,465mm,380mm,172mm,흰색,흰색
37,미들타워,,[3RSYS] L910 풀 윈도우 튜닝LED바,\79500,3RSYS,미들타워,,O,O,O,아크릴,230mm,490mm,465mm,380mm,172mm,,
38,미들타워,,[3RSYS] L300 미르 USB3.0 화이트,\45000,3RSYS,미들타워,,O,O,O,아크릴,193.5mm,481mm,435mm,350mm,153mm,검흰,
39,미들타워,,[3RSYS] L300 미르 USB3.0,\40100,3RSYS,미들타워,,O,O,O,아크릴,193.5mm,481mm,435mm,350mm,153mm,,
40,미들타워,,[3RSYS] L910 화이트 풀 아크릴 윈도우,\80000,3RSYS,미들타워,,O,O,O,아크릴,230mm,490mm,465mm,380mm,172mm,흰색,흰색
41,미들타워,,[3RSYS] L910 풀 아크릴 윈도우,\78900,3RSYS,미들타워,,O,O,O,아크릴,230mm,490mm,465mm,380mm,172mm,,
42,미니타워,,[3RSYS] R-BOX 300 USB3.0,\23500,3RSYS,미니타워,,,O,O,아크릴,205mm,419mm,372mm,300mm,157mm,,
43,미들타워,,[3RSYS] L900 USB3.0 화이트,\79900,3RSYS,미들타워,,O,O,O,,230mm,465mm,472mm,380mm,172mm,흰색,흰색
44,미들타워,,[3RSYS] L900 USB3.0,\70000,3RSYS,미들타워,,O,O,O,,230mm,465mm,472mm,380mm,172mm,,
45,빅타워,,[3RSYS] T200 발키리 NT PWM,\110700,3RSYS,빅타워,,O,O,O,아크릴,210mm,527mm,505mm,430mm,172mm,,
46,빅타워,,[3RSYS] L5000 윈도우,\129720,3RSYS,빅타워,,O,O,,아크릴,210mm,516mm,505mm,430mm,,,
47,미니타워,,[3RSYS] J300 USB3.0,\24600,3RSYS,미니타워,,,O,,,190mm,364mm,367mm,310mm,140mm,,
48,미들타워,,[3RSYS] L720 알파 이클립스 SE USB3.0,\74000,3RSYS,미들타워,,O,,,아크릴,200mm,500mm,475mm,380mm,160mm,,
49,미들타워,,[3RSYS] J200 USB3.0,\32600,3RSYS,미들타워,,O,,,아크릴,203mm,442mm,440mm,380mm,155mm,,
50,미니타워,,[3RSYS] TRUE250 USB3.0 Black,\-,3RSYS,미니타워,,,O,O,아크릴,185mm,375mm,330mm,270mm,157mm,,
51,미들타워,,[3RSYS] X210 마끼아또 SE USB3.0,\-,3RSYS,미들타워,,O,,,,260mm,420mm,355mm,290mm,125mm,,
52,미들타워,,[3RSYS] E-4 USB 3.0,\26000,3RSYS,미들타워,,O,O,,,200mm,418.5mm,413mm,350mm,152mm,,
53,미들타워,,[3RSYS] E-3 메탈릭 실버,\-,3RSYS,미들타워,,O,O,,,200mm,418.5mm,404mm,350mm,152mm,은색,
54,미들타워,,[3RSYS] E-2 USB 3.0,\19400,3RSYS,미들타워,,O,O,,,200mm,418.5mm,405mm,350mm,152mm,,
55,빅타워,,[3RSYS] L5000,\126700,3RSYS,빅타워,,O,O,,,210mm,516mm,505mm,430mm,,,
56,미니타워,,[3RSYS] R390 댄디,\25890,3RSYS,미니타워,,,O,,,180mm,373mm,404mm,330mm,,,
57,미들타워,,[3RSYS] L700 이클립스,\65850,3RSYS,미들타워,,O,O,,,195mm,470mm,492mm,410mm,,,
58,빅타워,,[3RSYS] T100 발키리,\92900,3RSYS,빅타워,,O,O,,아크릴,220mm,535mm,512mm,430mm,,,
59,미니타워,,[3RSYS] R370 메이플,\26790,3RSYS,미니타워,,,O,,,173mm,373mm,404mm,330mm,,검흰,
60,,, ,,,,,,,,,,,,,,,
61,,,-- ABKO / COX --,,,,,,,,,,,,,,,
62,,, ,,,,,,,,,,,,,,,
63,미들타워,,[COX] A3 쥬빌레 풀 아크릴 윈도우 with HALO X4 화이트,\51000,COX,미들타워,,O,O,O,아크릴,197mm,458mm,447mm,380mm,162mm,,
64,미들타워,,[COX] A3 쥬빌레 풀 아크릴 윈도우 with HALO X4 블랙,\51000,COX,미들타워,,O,O,O,아크릴,197mm,458mm,447mm,380mm,162mm,,
65,빅타워,,[COX] A9 가이아 RGB 컨트롤 3면 강화유리 HALO 140F,\123000,COX,빅타워,O,O,O,O,강화유리,249mm,512mm,504mm,420mm,180mm,,
66,빅타워,,[ABKO] SUITMASTER 810S 제로노이즈 저소음 화이트,\92500,ABKO,빅타워,O,O,O,O,,225mm,518mm,512mm,400mm,170mm,,
67,빅타워,,[ABKO] SUITMASTER 820G 크로노스 강화유리 라이저레디 화이트,\86000,ABKO,빅타워,O,O,O,O,강화유리,231mm,518mm,512mm,400mm,170mm,,
68,미들타워,,[COX] A5 오팔 2면 강화유리 롤리팝 LED 화이트,\47500,COX,미들타워,,O,O,O,강화유리,206mm,442mm,428mm,370mm,165mm,,
69,미들타워,,[COX] A5 셀레네 2면 강화유리 화이트,\49000,COX,미들타워,,O,O,O,강화유리,194mm,454mm,413mm,360mm,161mm,,
70,미들타워,,[COX] A5 셀레네 2면 강화유리 블랙,\47000,COX,미들타워,,O,O,O,강화유리,194mm,454mm,413mm,360mm,161mm,,
71,미들타워,,[ABKO] SUITMASTER 603G 아우라 RGB 컨트롤 2면 강화유리 듀얼백 with HALO DOUBLING 화이트,\113640,ABKO,미들타워,,O,O,O,강화유리,218mm,562mm,508mm,395mm,170mm,,
72,미들타워,,[ABKO] SUITMASTER 513G 이지스 RGB 컨트롤 2면 강화유리 with HALO 화이트,\76000,ABKO,미들타워,,O,O,O,강화유리,218mm,513mm,450mm,370mm,170mm,,
73,미들타워,,[COX] A5 오팔 2면 강화유리 롤리팝 LED 블랙,\46000,COX,미들타워,,O,O,O,강화유리,206mm,442mm,428mm,370mm,165mm,,
74,빅타워,,[ABKO] SUITMASTER 820G 크로노스 강화유리 라이저레디,\79000,ABKO,빅타워,O,O,O,O,강화유리,231mm,518mm,512mm,400mm,170mm,,
75,빅타워,,[ABKO] SUITMASTER 810S 제로노이즈 저소음,\84000,ABKO,빅타워,O,O,O,O,,225mm,518mm,512mm,400mm,170mm,,
76,미들타워,,[ABKO] SUITMASTER 401G 에오스 4면 강화유리 with HALO DOUBLING,\79000,ABKO,미들타워,O,O,O,O,아크릴,230mm,530mm,462mm,400mm,165mm,,
77,미들타워,,[ABKO] SUITMASTER 361G 칼리스토 2면 강화유리 with DOUBLING 화이트,\73000,ABKO,미들타워,O,O,O,O,강화유리,216mm,494mm,469mm,380mm,163mm,,
78,미들타워,,[ABKO] NCORE 빅뱅 풀아크릴윈도우,\35000,ABKO,미들타워,,O,O,O,아크릴,200mm,461mm,392mm,310mm,156mm,,
79,미들타워,,[ABKO] NCORE 카오스 풀 아크릴 & 강화유리 화이트,\35500,ABKO,미들타워,,O,O,O,아크릴,200mm,461mm,392mm,310mm,156mm,,
80,미들타워,,[ABKO] NCORE 카오스 풀 아크릴 & 강화유리 블랙,\33500,ABKO,미들타워,,O,O,O,아크릴,200mm,461mm,392mm,310mm,156mm,,
81,미들타워,,[ABKO] NCORE 팬서 풀 아크릴 윈도우 with HALO 화이트,\31500,ABKO,미들타워,,O,O,O,아크릴,198mm,440mm,432mm,365mm,158mm,,
82,미들타워,,[ABKO] NCORE 팬서 풀 아크릴 윈도우 with HALO 블랙,\31500,ABKO,미들타워,,O,O,O,아크릴,198mm,440mm,432mm,365mm,158mm,,
83,미들타워,,[ABKO] NCORE 그라시아 풀아크릴&강화유리 with HALO,\29500,ABKO,미들타워,,O,O,O,아크릴,192mm,420mm,403mm,340mm,144mm,,
84,미들타워,,[ABKO] NCORE 벨루스 USB3.0 풀 아크릴 윈도우,\26000,ABKO,미들타워,,O,O,O,아크릴,1912mm,420mm,397mm,340mm,144mm,,
85,미들타워,,[ABKO] SUITMASTER 362A 아도니스 알루미늄 & 강화유리 with DOUBLING,\68000,ABKO,미들타워,O,O,O,O,강화유리,216mm,494mm,469mm,380mm,163mm,,
86,미들타워,,[ABKO] SUITMASTER 515G 팔콘 RGB 컨트롤 4면 강화유리 with HALO,\97000,ABKO,미들타워,,O,O,O,강화유리,223mm,530mm,449mm,370mm,170mm,,
87,미들타워,,[ABKO] SUITMASTER 605G 허블 RGB 컨트롤 4면 강화유리 듀얼백 with HALO DOUBLING,\167990,ABKO,미들타워,,O,O,O,강화유리,230mm,581mm,484mm,395mm,170mm,,
88,미들타워,,[ABKO] NCORE 아수라 USB3.0 풀 아크릴 윈도우 화이트,\37500,ABKO,미들타워,,O,O,O,아크릴,194mm,491mm,436mm,370mm,159mm,,
89,미들타워,,[ABKO] SUITMASTER 513G 이지스 RGB 컨트롤 2면 강화유리 with HALO,\69000,ABKO,미들타워,,O,O,O,강화유리,218mm,513mm,450mm,370mm,170mm,,
90,미들타워,,[ABKO] SUITMASTER 603G 아우라 RGB 컨트롤 2면 강화유리 듀얼백 with HALO DOUBLING,\108000,ABKO,미들타워,,O,O,O,강화유리,218mm,562mm,508mm,395mm,170mm,,
91,빅타워,,[ABKO] NCORE 아레스 USB3.0 4면 풀 아크릴 윈도우 with HALO,\69000,ABKO,빅타워,O,O,O,O,아크릴,230mm,545mm,470mm,380mm,165mm,흰색,흰색
92,미들타워,,[ABKO] NCORE 타나토스 USB3.0 풀 아크릴 윈도우,\25000,ABKO,미들타워,,O,O,O,아크릴,198mm,463mm,425mm,365mm,158mm,,
93,미들타워,,[COX] A3 캐논 PC방,\16060,COX,미들타워,,O,O,,아크릴,180mm,424mm,372mm,320mm,160mm,,
94,미들타워,,[ABKO] SUITMASTER 511S 크로우 RGB 컨트롤 강화유리 with HALO,\50000,ABKO,미들타워,,O,O,O,강화유리,218mm,512mm,465mm,370mm,170mm,,
95,미들타워,,[ABKO] SUITMASTER 601S 타이탄 RGB 컨트롤 강화유리 듀얼백 with HALO,\78740,ABKO,미들타워,,O,O,O,강화유리,218mm,560mm,485mm,395mm,170mm,,
96,빅타워,,[ABKO] SUITMASTER 701S 튠업 강화유리 with HALO 화이트,\89000,ABKO,빅타워,O,O,O,O,강화유리,220mm,505mm,465mm,400mm,165mm,흰색,흰색
97,빅타워,,[ABKO] SUITMASTER 730AL 알루미늄 RGB 컨트롤 with HALO DOUBLING,\195500,ABKO,빅타워,O,O,O,O,강화유리,225mm,518mm,478mm,395mm,165mm,,
98,미들타워,,[ABKO] NCORE 쿨맥스 USB3.0 풀 아크릴 윈도우 화이트,\31000,ABKO,미들타워,,O,O,O,아크릴,193mm,427mm,419mm,365mm,165mm,흰색,
99,미들타워,,[ABKO] NCORE 포세이돈 USB3.0 풀 아크릴 윈도우 화이트,\31000,ABKO,미들타워,,O,O,,아크릴,193mm,427mm,419mm,365mm,165mm,흰색,
100,빅타워,,[ABKO] SUITMASTER 701S 튠업 강화유리 with HALO 블랙,\83000,ABKO,빅타워,O,O,O,O,강화유리,220mm,505mm,465mm,400mm,165mm,,
101,미들타워,,[ABKO] SUITMASTER 350S 강화유리 with HALO 화이트,\58000,ABKO,미들타워,O,O,O,O,강화유리,212mm,503mm,448mm,385mm,162mm,흰색,흰색
102,미들타워,,[ABKO] NCORE 쿨맥스 USB3.0 풀 아크릴 윈도우,\29000,ABKO,미들타워,,O,O,,아크릴,193mm,427mm,419mm,365mm,165mm,,
103,미들타워,,[ABKO] NCORE 포세이돈 USB3.0 풀 아크릴 윈도우,\29000,ABKO,미들타워,,O,O,,아크릴,193mm,427mm,419mm,365mm,165mm,,
104,미들타워,,[ABKO] NCORE 배럭 PC방,\17000,ABKO,미들타워,,O,O,,,180mm,416mm,367mm,325mm,150mm,,
105,빅타워,,[ABKO] SUITMASTER 801G RGB 컨트롤 3면 강화유리 with HALO DOUBLING 화이트,\167000,ABKO,빅타워,O,O,O,O,강화유리,250mm,502mm,530mm,450mm,180mm,흰색,흰색
106,미들타워,,[ABKO] SUITMASTER 350S 강화유리 with HALO 블랙,\54000,ABKO,미들타워,O,O,O,O,강화유리,212mm,503mm,448mm,385mm,162mm,,
107,미들타워,,[COX] A3 인트로 USB3.0 풀 아크릴 윈도우 화이트,\21900,COX,미들타워,,O,O,O,아크릴,193mm,428mm,395mm,380mm,160mm,흰색,
108,미들타워,,[COX] A3 인트로 USB3.0 풀 아크릴 윈도우 블랙,\19900,COX,미들타워,,O,O,O,아크릴,193mm,428mm,395mm,380mm,160mm,,
109,미들타워,,[ABKO] SUITMASTER 330S 강화유리 with HALO 화이트,\63000,ABKO,미들타워,O,O,O,O,강화유리,215mm,500mm,455mm,385mm,162mm,흰색,흰색
110,미들타워,,[ABKO] SUITMASTER 330S 강화유리 with HALO 블랙,\59000,ABKO,미들타워,O,O,O,O,강화유리,215mm,500mm,455mm,385mm,162mm,,
111,빅타워,,[ABKO] SUITMASTER 720G RGB 컨트롤 4면 강화유리 with HALO DOUBLING 화이트,\155000,ABKO,빅타워,O,O,O,O,강화유리,230mm,515mm,470mm,400mm,165mm,흰색,흰색
112,빅타워,,[ABKO] SUITMASTER 720G RGB 컨트롤 4면 강화유리 with HALO DOUBLING,\149000,ABKO,빅타워,O,O,O,O,강화유리,230mm,515mm,470mm,400mm,165mm,,
113,미들타워,,[ABKO] NCORE 코로나 USB3.0 풀아크릴 윈도우 화이트,\27000,ABKO,미들타워,,O,O,O,아크릴,187mm,440mm,429mm,370mm,156mm,흰색,
114,미들타워,,[ABKO] NCORE 코로나 USB3.0 풀아크릴 윈도우 블랙,\25500,ABKO,미들타워,,O,O,O,아크릴,187mm,440mm,429mm,370mm,156mm,,
115,빅타워(RTX),,[ABKO] SUITMASTER EX201 Xcube 4면 강화유리,\79000,ABKO,빅타워(RTX),O,O,O,O,강화유리,300mm,475mm,380mm,280mm,150mm,,
116,미들타워,,[COX] A3 스캣 USB3.0 풀 아크릴 윈도우,\31500,COX,미들타워,,O,O,O,아크릴,197mm,460mm,413mm,370mm,156mm,,
117,빅타워,,[ABKO] SUITMASTER 801G RGB 컨트롤 3면 강화유리 with HALO DOUBLING,\159000,ABKO,빅타워,O,O,O,O,강화유리,250mm,502mm,530mm,450mm,180mm,,
118,미들타워,,[COX] A3 베이스 USB3.0 풀 아크릴 윈도우,\38000,COX,미들타워,,O,O,O,아크릴,201mm,455mm,450mm,365mm,155mm,,
119,미들타워,,[COX] CX30 USB 3.0,\13600,COX,미들타워,,O,O,O,,195mm,410mm,385mm,340mm,150mm,,
120,미들타워,,[COX] A4 이퀄라이저 RGB 컨트롤 풀 아크릴 윈도우 화이트,\53000,COX,미들타워,,O,O,O,아크릴,200mm,432mm,450mm,365mm,155mm,흰색,흰색
121,미들타워,,[COX] A4 이퀄라이저 RGB 컨트롤 풀 아크릴 윈도우 블랙,\49000,COX,미들타워,,O,O,O,아크릴,200mm,432mm,450mm,365mm,155mm,,
122,미들타워,,[COX] A3 첼로 USB3.0 풀 아크릴 윈도우,\30600,COX,미들타워,,O,O,O,아크릴,201mm,425mm,412mm,330mm,160mm,은색,
123,미들타워,,[COX] A3 노빌레 풀아크릴윈도우 with 헤일로X4 화이트,\48000,COX,미들타워,,O,O,O,아크릴,197mm,447mm,458mm,380mm,156mm,흰색,흰색
124,미들타워,,[COX] A3 노빌레 풀아크릴윈도우 with 헤일로X4 블랙,\44000,COX,미들타워,,O,O,O,아크릴,197mm,447mm,458mm,380mm,156mm,,
125,미들타워,,[COX] A3 녹턴 USB3.0 풀 아크릴 윈도우 화이트,\35000,COX,미들타워,,O,O,O,아크릴,197mm,447mm,450mm,380mm,156mm,흰색,흰색
126,미들타워,,[COX] A3 녹턴 USB3.0 풀 아크릴 윈도우 블랙,\32000,COX,미들타워,,O,O,O,아크릴,197mm,447mm,450mm,380mm,156mm,,
127,미들타워,,[ABKO] NCORE G200 타노스 IG USB3.0 강화유리 화이트,\71000,ABKO,미들타워,,O,O,O,강화유리,220mm,475mm,515mm,380mm,162mm,흰색,흰색
128,빅타워,,[ABKO] SUITMASTER 701S USB3.0 강화유리 화이트,\86000,ABKO,빅타워,O,O,O,O,강화유리,220mm,465mm,508mm,400mm,165mm,흰색,흰색
129,미들타워,,[ABKO] A3 밴조 USB3.0 풀 아크릴 윈도우,\23920,ABKO,미들타워,,O,O,O,아크릴,201mm,440mm,435mm,395mm,157mm,,
130,빅타워,,[ABKO] NCORE 플래툰 USB3.0 강화유리 화이트,\49000,ABKO,빅타워,O,O,O,O,강화유리,207mm,472mm,458mm,415mm,165mm,흰색,흰색
131,빅타워,,[ABKO] NCORE 플래툰 USB3.0 강화유리 블랙,\45000,ABKO,빅타워,O,O,O,O,강화유리,207mm,472mm,458mm,415mm,165mm,,
132,미들타워,,[COX] A3 왈츠 USB3.0 풀 아크릴 윈도우,\22000,COX,미들타워,,O,O,O,아크릴,198mm,450mm,442mm,365mm,158mm,,
133,빅타워,,[COX] A7 레가토 USB3.0 강화유리 화이트,\60000,COX,빅타워,O,O,O,O,강화유리,215mm,463mm,467mm,415mm,165mm,흰색,
134,빅타워,,[COX] A7 레가토 USB3.0 강화유리 블랙,\55000,COX,빅타워,O,O,O,O,강화유리,215mm,463mm,467mm,415mm,165mm,회색,
135,미들타워,,[COX] A3 아리아 USB3.0 풀 아크릴 윈도우 튜닝 LED 컨트롤,\29900,COX,미들타워,,O,O,O,아크릴,197mm,455mm,460mm,370mm,156mm,,
136,미들타워,,[ABKO] NCORE F1 스나이퍼 PC방,\11900,ABKO,미들타워,,O,O,O,,178mm,410mm,379mm,285mm,145mm,,
137,미니타워,,[COX] A1 피아노 USB3.0 아크릴 윈도우,\23500,COX,미니타워,,,O,O,아크릴,189mm,360mm,367mm,302mm,155mm,,
138,미들타워,,[COX] A7 토닉 USB3.0 풀 아크릴 윈도우,\42700,COX,미들타워,,O,O,O,아크릴,218mm,457mm,535mm,365mm,160mm,,
139,미들타워,,[ABKO] NCORE 마린 USB3.0,\20000,ABKO,미들타워,,O,O,O,,195mm,415mm,410mm,340mm,155mm,,
140,빅타워,,[ABKO] SUITMASTER 701S USB3.0 강화유리 블랙,\80000,ABKO,빅타워,O,O,O,O,강화유리,220mm,465mm,508mm,400mm,165mm,,
141,미들타워,,[ABKO] NCORE 사파이어 3.0 풀아크릴 & 강화유리 화이트,\52000,ABKO,미들타워,,O,O,O,아크릴,198mm,450mm,452mm,370mm,159mm,흰색,흰색
142,미들타워,,[ABKO] NCORE 커브 USB3.0 풀 아크릴 윈도우 화이트 with HALO,\45000,ABKO,미들타워,,O,O,O,아크릴,206mm,470mm,443mm,375mm,162mm,흰색,흰색
143,미들타워,,[ABKO] NCORE 커브 USB3.0 풀 아크릴 윈도우 블랙 with HALO,\40000,ABKO,미들타워,,O,O,O,아크릴,206mm,470mm,443mm,375mm,162mm,,
144,미들타워,,[ABKO] A5 오페라 USB3.0 풀 아크릴 윈도우 화이트,\42000,ABKO,미들타워,,O,O,O,아크릴,206mm,470mm,440mm,375mm,162mm,흰색,흰색
145,미들타워,,[ABKO] NCORE 아수라 USB3.0 풀 아크릴 윈도우,\31000,ABKO,미들타워,,O,O,O,아크릴,194mm,491mm,436mm,370mm,159mm,,
146,미들타워,,[ABKO] A5 오페라 USB3.0 풀 아크릴 윈도우 블랙,\38000,ABKO,미들타워,,O,O,O,아크릴,206mm,470mm,440mm,375mm,162mm,,
147,미들타워,,[ABKO] SUITMASTER 501S RGB 무선리모트 강화유리 블랙,\80000,ABKO,미들타워,,O,O,O,강화유리,220mm,507mm,511mm,450mm,160mm,,
148,미들타워,,[ABKO] SUITMASTER 501S RGB 무선리모트 강화유리 화이트,\85000,ABKO,미들타워,,O,O,O,강화유리,220mm,507mm,511mm,450mm,160mm,흰색,흰색
149,미들타워,,[ABKO] A5 코다 USB3.0 풀 아크릴 윈도우 화이트,\42000,ABKO,미들타워,,O,O,O,아크릴,206mm,470mm,440mm,375mm,162mm,흰색,
150,미들타워,,[ABKO] A5 코다 USB3.0 풀 아크릴 윈도우 블랙,\38000,ABKO,미들타워,,O,O,O,아크릴,206mm,470mm,440mm,375mm,162mm,,
151,,, ,,,,,,,,,,,,,,,
152,,,-- 쿨러마스터 --,,,,,,,,,,,,,,,
153,,, ,,,,,,,,,,,,,,,
154,미들타워,,[쿨러마스터] MASTERBOX MB500 RGB 컨트롤러 강화유리,\88400,쿨러마스터,미들타워,,O,O,O,강화유리,211mm,475mm,494mm,400mm,160mm,,
155,미니타워,,[쿨러마스터] MASTERBOX Q300P RGB 컨트롤러 풀 아크릴 윈도우,\104000,쿨러마스터,미니타워,,,O,O,아크릴,230mm,450mm,450mm,360mm,157mm,,
156,리틀밸리,,[쿨러마스터] ELITE 110A USB 3.0,\68700,쿨러마스터,리틀밸리,,,,O,,260mm,208mm,280mm,210mm,76mm,,
157,미들타워,,[쿨러마스터] MasterCase H500P RGB 컨트롤러 강화유리,\196800,쿨러마스터,미들타워,O,O,O,O,강화유리,242mm,542mm,544mm,412mm,190mm,,
158,빅타워,,[쿨러마스터] COSMOS C700P RGB Strip 강화유리,\430000,쿨러마스터,빅타워,O,O,O,O,강화유리,306mm,639mm,650mm,490mm,198mm,,
159,미들타워,,[쿨러마스터] MASTERBOX LITE 5 RGB 컨트롤러 강화유리,\71000,쿨러마스터,미들타워,,O,O,O,강화유리,200mm,468.8mm,454.5mm,400mm,160mm,,
160,미들타워,,[쿨러마스터] MASTERBOX LITE 5 RGB 강화유리,\68000,쿨러마스터,미들타워,,O,O,O,강화유리,200mm,468.8mm,454.5mm,400mm,160mm,,
161,빅타워,,[쿨러마스터] COSMOS II 25TH ANNIVERSARY EDITION 대양케이스,\546000,쿨러마스터,빅타워,O,O,O,,강화유리,344mm,704mm,664mm,385mm,190mm,은색,
162,미들타워,,[쿨러마스터] MasterCase Maker 5T LED Strip 강화유리,\312000,쿨러마스터,미들타워,,O,O,O,강화유리,242mm,574mm,544mm,412mm,190mm,검빨,빨강
163,미들타워,,[쿨러마스터] CM590 III 블루 LED 윈도우 MID TOWER,\65000,쿨러마스터,미들타워,,O,O,O,아크릴,200mm,470mm,480mm,405mm,159mm,,
164,미니타워,,[쿨러마스터] MASTERCASE PRO 3,\125000,쿨러마스터,미니타워,,,O,O,아크릴,235mm,505mm,467mm,370mm,190mm,,
165,미들타워,,[쿨러마스터] MASTERCASE PRO 5 엔비디아 에디션,\210000,쿨러마스터,미들타워,,O,O,O,아크릴,235mm,512mm,548mm,412mm,190mm,검초,
166,미들타워,,[쿨러마스터] MASTERBOX5 화이트 Mirror,\59000,쿨러마스터,미들타워,,O,O,O,아크릴,220mm,475mm,500mm,410mm,167mm,흰색,흰색
167,미들타워,,[쿨러마스터] MASTERBOX5 Black Mesh,\55000,쿨러마스터,미들타워,,O,O,O,아크릴,220mm,475mm,500mm,410mm,167mm,,
168,미들타워,,[쿨러마스터] MasterCase Maker 5 LED Strip 대양케이스,\250000,쿨러마스터,미들타워,,O,O,O,아크릴,235mm,548mm,528.6mm,412mm,190mm,,
